Commodity,Unit,Country,Quantity,Value
OTHER COMMODITIES,,UNSPECIFIED,,7349.906819
OTHER COMMODITIES,,KENYA,,2.375354
OTHER COMMODITIES,,TANZANIA REP,,4.78865
OTHER COMMODITIES,,UGANDA,,0.048373
OTHER COMMODITIES,,BENIN,,3.358105
OTHER COMMODITIES,,BURKINA FASO,,5.7e-05
OTHER COMMODITIES,,CAMEROON,,2.609098
OTHER COMMODITIES,,C AFRI REP,,0.000117
OTHER COMMODITIES,,CHAD,,1.420328
OTHER COMMODITIES,,CONGO P REP,,2.776202
OTHER COMMODITIES,,GABON,,0.029244
OTHER COMMODITIES,,COTE D' IVOIRE,,1.242635
OTHER COMMODITIES,,MADAGASCAR,,11.026849
OTHER COMMODITIES,,MAURITANIA,,2.299089
OTHER COMMODITIES,,MAURITIUS,,0.131947
OTHER COMMODITIES,,NIGER,,2.5e-05
OTHER COMMODITIES,,RWANDA,,0.013654
OTHER COMMODITIES,,SENEGAL,,2.705752
OTHER COMMODITIES,,TOGO,,3.074932
OTHER COMMODITIES,,CONGO D. REP.,,6.068314
OTHER COMMODITIES,,ANGOLA,,0.754849
OTHER COMMODITIES,,BOTSWANA,,0.000605
OTHER COMMODITIES,,CAPE VERDE IS,,0.166027
OTHER COMMODITIES,,ETHIOPIA,,1.425165
OTHER COMMODITIES,,GAMBIA,,0.907694
OTHER COMMODITIES,,GHANA,,0.959024
OTHER COMMODITIES,,GUINEA,,3.371478
OTHER COMMODITIES,,GUINEA BISSAU,,0.152243
OTHER COMMODITIES,,LESOTHO,,1e-06
OTHER COMMODITIES,,LIBERIA,,0.811062
OTHER COMMODITIES,,MALAWI,,0.012896
OTHER COMMODITIES,,MALI,,2.001483
OTHER COMMODITIES,,MOZAMBIQUE,,0.939343
OTHER COMMODITIES,,NAMIBIA,,1.208535
OTHER COMMODITIES,,NIGERIA,,2.948338
OTHER COMMODITIES,,REUNION,,0.067698
OTHER COMMODITIES,,SIERRA LEONE,,1.113365
OTHER COMMODITIES,,SOMALIA,,0.324948
OTHER COMMODITIES,,SWAZILAND,,0.118578
OTHER COMMODITIES,,ZAMBIA,,0.07941
OTHER COMMODITIES,,ALGERIA,,0.021565
OTHER COMMODITIES,,EGYPT A RP,,2.509568
OTHER COMMODITIES,,LIBYA,,0.226302
OTHER COMMODITIES,,MOROCCO,,0.728478
OTHER COMMODITIES,,SOUTH AFRICA,,23.931474
OTHER COMMODITIES,,SUDAN,,59.414037
OTHER COMMODITIES,,TUNISIA,,1.722657
OTHER COMMODITIES,,ZIMBABWE,,1.697179
OTHER COMMODITIES,,CANADA,,23.278289
OTHER COMMODITIES,,GREENLAND,,0.005085
OTHER COMMODITIES,,USA,,377.022099
OTHER COMMODITIES,,US MINOR OUTLYING ISLANDS,,0.00088
OTHER COMMODITIES,,ARGENTINA,,5.546331
OTHER COMMODITIES,,BRAZIL,,68.027425
OTHER COMMODITIES,,CHILE,,0.706354
OTHER COMMODITIES,,COLOMBIA,,0.123674
OTHER COMMODITIES,,ECUADOR,,0.05185
OTHER COMMODITIES,,PARAGUAY,,0.374858
OTHER COMMODITIES,,PERU,,0.796804
OTHER COMMODITIES,,URUGUAY,,0.479638
